,age_head,income_bin,age_group,n,smoothed,add_head
338,58,"[99, 100)",nu18,0.268712390470493,False,False
339,59,"[99, 100)",nu18,0.1200117802974525,False,False
340,60,"[99, 100)",nu18,0.13033131298107314,False,False
341,61,"[99, 100)",nu18,0.16620024875621892,False,False
342,62,"[99, 100)",nu18,0.12168610816542948,False,False
343,63,"[99, 100)",nu18,0.05746929693183277,False,False
344,64,"[99, 100)",nu18,0.057891224557891224,False,False
345,65,"[99, 100)",nu18,0.10166618431388763,False,False
346,66,"[99, 100)",nu18,0.028799726530786652,False,False
347,67,"[99, 100)",nu18,0.11493397805467732,False,False
348,68,"[99, 100)",nu18,0.05903168730899148,False,False
349,69,"[99, 100)",nu18,0.0,False,False
350,70,"[99, 100)",nu18,0.04653125527485512,False,False
351,71,"[99, 100)",nu18,0.1581791976939707,False,False
352,72,"[99, 100)",nu18,0.0652881485736167,False,False
353,73,"[99, 100)",nu18,0.03337793113161045,False,False
354,74,"[99, 100)",nu18,0.1553156146179402,False,False
355,75,"[99, 100)",nu18,0.14786305989296972,False,False
356,76,"[99, 100)",nu18,0.2738247045821644,False,False
357,77,"[99, 100)",nu18,0.05342349957734573,False,False
358,78,"[99, 100)",nu18,0.29914236706689534,False,False
359,79,"[99, 100)",nu18,0.3680582152432018,False,False
360,20,"[0, 25)",n1864,2.0088142409445857,False,True
361,21,"[0, 25)",n1864,2.0091130413678555,False,True
362,22,"[0, 25)",n1864,2.0200945467279023,False,True
363,23,"[0, 25)",n1864,2.026277638544613,False,True
364,24,"[0, 25)",n1864,2.0337554787592715,False,True
365,25,"[0, 25)",n1864,2.0315796189413913,False,True
366,26,"[0, 25)",n1864,2.0540524403056626,False,True
367,27,"[0, 25)",n1864,2.0534088557216297,False,True
368,28,"[0, 25)",n1864,2.064322694275087,False,True
369,29,"[0, 25)",n1864,2.087593482168208,False,True
370,30,"[0, 25)",n1864,2.1136614112383234,False,True
371,31,"[0, 25)",n1864,2.1110697727662986,False,True
372,32,"[0, 25)",n1864,2.1388923438680374,False,True
373,33,"[0, 25)",n1864,2.125688405997642,False,True
374,34,"[0, 25)",n1864,2.15229374349029,False,True
375,35,"[0, 25)",n1864,2.148287615874957,False,True
376,36,"[0, 25)",n1864,2.1866737439507125,False,True
377,37,"[0, 25)",n1864,2.2090990209215544,False,True
378,38,"[0, 25)",n1864,2.188613873534518,False,True
379,39,"[0, 25)",n1864,2.212819278180625,False,True
380,40,"[0, 25)",n1864,2.2122273854014267,False,True
381,41,"[0, 25)",n1864,2.243867485836101,False,True
382,42,"[0, 25)",n1864,2.231814286323285,False,True
383,43,"[0, 25)",n1864,2.2196070514438153,False,True
384,44,"[0, 25)",n1864,2.218622085569979,False,True
385,45,"[0, 25)",n1864,2.253599323576024,False,True
386,46,"[0, 25)",n1864,2.2453852882797944,False,True
387,47,"[0, 25)",n1864,2.2420463110923508,False,True
388,48,"[0, 25)",n1864,2.2209031336259657,False,True
389,49,"[0, 25)",n1864,2.20559853618982,False,True
390,50,"[0, 25)",n1864,2.229699587798846,False,True
391,51,"[0, 25)",n1864,2.24229602004561,False,True
392,52,"[0, 25)",n1864,2.246366545776396,False,True
393,53,"[0, 25)",n1864,2.2288454384416934,False,True
394,54,"[0, 25)",n1864,2.223297437976393,False,True
395,55,"[0, 25)",n1864,2.193117065122091,False,True
396,56,"[0, 25)",n1864,2.2209980331282386,False,True
397,57,"[0, 25)",n1864,2.2167647641416,False,True
398,58,"[0, 25)",n1864,2.2118197633459378,False,True
399,59,"[0, 25)",n1864,2.2122966135091033,False,True
400,60,"[0, 25)",n1864,2.2348715913687744,False,True
401,61,"[0, 25)",n1864,2.2257593310037476,False,True
402,62,"[0, 25)",n1864,2.2240915891372373,False,True
403,63,"[0, 25)",n1864,2.2340595083908292,False,True
404,64,"[0, 25)",n1864,2.225737459124276,False,True
405,65,"[0, 25)",n1864,1.1790594715487852,False,False
406,66,"[0, 25)",n1864,1.1790417450117432,False,False
407,67,"[0, 25)",n1864,1.1042026678149262,False,False
408,68,"[0, 25)",n1864,1.102500394981463,False,False
409,69,"[0, 25)",n1864,1.0835071115067947,False,False
410,70,"[0, 25)",n1864,1.0782968306218732,False,False
411,71,"[0, 25)",n1864,1.084393785815361,False,False
412,72,"[0, 25)",n1864,1.048140614826653,False,False
413,73,"[0, 25)",n1864,1.040770721431107,False,False
414,74,"[0, 25)",n1864,1.0587363181584524,False,False
415,75,"[0, 25)",n1864,1.0315002266203355,False,False
416,76,"[0, 25)",n1864,1.060647441285962,False,False
417,77,"[0, 25)",n1864,1.0326126238827962,False,False
418,78,"[0, 25)",n1864,1.0209668769313278,False,False
419,79,"[0, 25)",n1864,1.0375019011102484,False,False
420,20,"[25, 50)",n1864,2.006707852145743,False,True
421,21,"[25, 50)",n1864,2.007851938589644,False,True
422,22,"[25, 50)",n1864,2.0150290597724103,False,True
423,23,"[25, 50)",n1864,2.030646233736674,False,True
424,24,"[25, 50)",n1864,2.0303753770199,False,True
425,25,"[25, 50)",n1864,2.0658677633270837,False,True
426,26,"[25, 50)",n1864,2.070969703575793,False,True
427,27,"[25, 50)",n1864,2.1012473063036063,False,True
428,28,"[25, 50)",n1864,2.1283440711813206,False,True
429,29,"[25, 50)",n1864,2.1738326279758273,False,True
430,30,"[25, 50)",n1864,2.184605128244126,False,True
431,31,"[25, 50)",n1864,2.1995670995670995,False,True
432,32,"[25, 50)",n1864,2.204826091795251,False,True
433,33,"[25, 50)",n1864,2.265811324515963,False,True
434,34,"[25, 50)",n1864,2.2512868368936876,False,True
435,35,"[25, 50)",n1864,2.2835943558447687,False,True
436,36,"[25, 50)",n1864,2.2659748261322794,False,True
437,37,"[25, 50)",n1864,2.340515304110142,False,True
438,38,"[25, 50)",n1864,2.3320047876810936,False,True
439,39,"[25, 50)",n1864,2.327553701422154,False,True
440,40,"[25, 50)",n1864,2.3344774830725417,False,True
441,41,"[25, 50)",n1864,2.3403956968854636,False,True
442,42,"[25, 50)",n1864,2.3638076883468435,False,True
443,43,"[25, 50)",n1864,2.3521806478063594,False,True
444,44,"[25, 50)",n1864,2.350202476261404,False,True
445,45,"[25, 50)",n1864,2.380841012616937,False,True
446,46,"[25, 50)",n1864,2.406883759762676,False,True
447,47,"[25, 50)",n1864,2.374722327572195,False,True
448,48,"[25, 50)",n1864,2.3319067204211317,False,True
449,49,"[25, 50)",n1864,2.3441753826854943,False,True
450,50,"[25, 50)",n1864,2.3458642461055828,False,True
451,51,"[25, 50)",n1864,2.3571007029001922,False,True
452,52,"[25, 50)",n1864,2.3299009917001205,False,True
453,53,"[25, 50)",n1864,2.373439032868046,False,True
454,54,"[25, 50)",n1864,2.34104804939921,False,True
455,55,"[25, 50)",n1864,2.3408767065788894,False,True
456,56,"[25, 50)",n1864,2.3149132086197444,False,True
457,57,"[25, 50)",n1864,2.3777467460237816,False,True
458,58,"[25, 50)",n1864,2.34658083615897,False,True
459,59,"[25, 50)",n1864,2.3360881088932484,False,True
460,60,"[25, 50)",n1864,2.286570529756565,False,True
461,61,"[25, 50)",n1864,2.2909142131802946,False,True
462,62,"[25, 50)",n1864,2.2772265916638776,False,True
463,63,"[25, 50)",n1864,2.2444761448593264,False,True
464,64,"[25, 50)",n1864,2.2133959646357066,False,True
465,65,"[25, 50)",n1864,1.1816152473487445,False,False
466,66,"[25, 50)",n1864,1.142282908445716,False,False
467,67,"[25, 50)",n1864,1.1113422750308954,False,False
468,68,"[25, 50)",n1864,1.0935222234238131,False,False
469,69,"[25, 50)",n1864,1.0901148576742759,False,False
470,70,"[25, 50)",n1864,1.0797372802872578,False,False
471,71,"[25, 50)",n1864,1.0622446227159654,False,False
