,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
233,"(0.7, 0.8]",70.0,0.11428571428571427,0.7714285714285715,0.4285714285714286,0.0687173564589614,0.553901124821061,1.4285714285714286
234,"(0.7, 0.8]",71.0,0.12,0.64,0.52,0.0630058292585255,0.5040133678244922,1.52
235,"(0.7, 0.8]",72.0,0.043478260869565216,0.39130434782608703,0.5652173913043481,0.05728425305958075,0.4539551455846586,1.5652173913043481
236,"(0.7, 0.8]",73.0,0.0,0.38461538461538464,0.6153846153846154,0.051608251245251896,0.40377020234115185,1.6153846153846154
237,"(0.7, 0.8]",74.0,0.0,0.21428571428571427,0.7142857142857142,0.04598802364629184,0.3534910248756682,1.7142857142857142
238,"(0.7, 0.8]",75.0,0.15384615384615385,0.38461538461538464,0.7692307692307692,0.0404391973528603,0.3031511588344435,1.7692307692307692
239,"(0.7, 0.8]",76.0,0.2,0.3,0.7,0.03497259923365006,0.2527709466033979,1.7
240,"(0.7, 0.8]",77.0,0.0,0.16666666666666666,0.8333333333333333,0.029556753443826696,0.20233246677804928,1.8333333333333333
241,"(0.7, 0.8]",78.0,0.0,0.16666666666666666,0.8333333333333333,0.024131490561143103,0.151797418976526,1.8333333333333333
242,"(0.7, 0.8]",79.0,0.0,0.3333333333333333,0.8333333333333333,0.018652604459254804,0.10114276243939582,1.8333333333333333
243,"(0.7, 0.8]",80.0,0.0,0.0,1.0,0.013097108893342492,0.05034411320170073,2.0
244,"(0.8, 0.9]",20.0,0.3109243697478992,0.4957983193277309,0.0,0.2653820959148157,1.563423240012637,0.0
245,"(0.8, 0.9]",21.0,0.4142857142857143,0.5857142857142856,0.0,0.3599156751602436,1.5830047860487437,0.0
246,"(0.8, 0.9]",22.0,0.466887417218543,0.5860927152317881,0.0,0.45473648956590396,1.6024550970346394,0.0
247,"(0.8, 0.9]",23.0,0.5096618357487923,0.6545893719806763,0.0,0.5497762459892138,1.6218071335792255,0.0
248,"(0.8, 0.9]",24.0,0.6293436293436293,0.6525096525096523,0.0,0.6449494318273329,1.6411028174354518,0.0
249,"(0.8, 0.9]",25.0,0.6910016977928692,0.6926994906621391,0.0,0.7401836587833778,1.6603776920781206,0.0
250,"(0.8, 0.9]",26.0,0.7693474962063733,0.6752655538694992,0.0,0.8354327058113964,1.679659290031967,0.0
251,"(0.8, 0.9]",27.0,0.8799414348462665,0.7130307467057102,0.0,0.9307197407915658,1.698959762920035,0.0
252,"(0.8, 0.9]",28.0,1.0103092783505154,0.7363770250368189,0.0,1.0262251900334443,1.7182775316500511,0.0
253,"(0.8, 0.9]",29.0,1.1673582295988936,0.7468879668049793,0.0,1.122452469249601,1.7375780070382376,0.0
254,"(0.8, 0.9]",30.0,1.2205056179775282,0.7570224719101124,0.0,1.2204515465601067,1.7567363577168846,0.0
255,"(0.8, 0.9]",31.0,1.3625,0.7708333333333333,0.0,1.3211295442493203,1.7753606122164238,0.0
256,"(0.8, 0.9]",32.0,1.4789550072568942,0.7851959361393324,0.0,1.375110626182786,1.7952001124655865,0.0
